ID,LABEL,Parent,definition,PMID,has microbe depleted in diseased host,has microbe expanded in diseased host,term editor
ID,A rdfs:label,C %,A definition SPLIT=|,A definition source SPLIT=;,C 'has microbe depleted in diseased host' some % SPLIT=|,C 'has microbe expanded in diseased host' some % SPLIT=|,A term editor SPLIT=|
OHMI:0000500,expansion of Proteobacteria in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Proteobacteria up-regulated in the lung of COPD patient compared to healthy human.,PMID:20052417,,http://purl.obolibrary.org/obo/NCBITaxon_1224,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000501,expansion of Haemophilus in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Haemophilus up-regulated in the lung of COPD patient compared to healthy human.,PMID:20052417,,http://purl.obolibrary.org/obo/NCBITaxon_724,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000502,expansion of Haemophilus influenzae in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Haemophilus influenzae up-regulated in the lung of COPD patient compared to healthy human.,PMID:16474030,,http://purl.obolibrary.org/obo/NCBITaxon_727,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000503,expansion of Haemophilus parainfluenzae in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Haemophilus parainfluenzae up-regulated in the lung of COPD patient compared to healthy human.,PMID:16474030,,http://purl.obolibrary.org/obo/NCBITaxon_729,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000504,expansion of Staphylococcus aureus in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Staphylococcus aureus up-regulated in the lung of COPD patient compared to healthy human.,PMID:16474030,,http://purl.obolibrary.org/obo/NCBITaxon_1280,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000505,expansion of Streptococcus pneumoniae in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Streptococcus pneumoniae up-regulated in the lung of COPD patient compared to healthy human.,PMID:16474030,,http://purl.obolibrary.org/obo/NCBITaxon_1313,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000506,expansion of Pseudomonas aeruginosa in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Pseudomonas aeruginosa up-regulated in the lung of COPD patient compared to healthy human.,PMID:16474030,,http://purl.obolibrary.org/obo/NCBITaxon_287,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000507,expansion of Neisseriaceae in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Neisseriaceae up-regulated in the lung of COPD patient compared to healthy human.,PMID:25253795,,http://purl.obolibrary.org/obo/NCBITaxon_484,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000508,expansion of Coribacteriales in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Coribacteriales up-regulated in the lung of COPD patient compared to healthy human.,PMID:23071781,,http://purl.obolibrary.org/obo/NCBITaxon_84999,Yang Wang|Jie Zheng|Yongqun He
OHMI:0000509,expansion of Coriobacteriaceae in lung of COPD patient compared to healthy human,bacterial change in lung of COPD patient compared to healthy human,Coriobacteriaceae up-regulated in the lung of COPD patient compared to healthy human.,PMID:23071781,,http://purl.obolibrary.org/obo/NCBITaxon_84107,Yang Wang|Jie Zheng|Yongqun He
